"","X","GSM7413358","GSM7413360","GSM7413364","GSM7413365","GSM7413366","GSM7413367","GSM7413369","GSM7413370","GSM7413371","GSM7413372","GSM7413373","GSM7413374","GSM7413375"
"154","544056",0.989199016841507,3.91637710601342,57.3319903329222,118.241402232374,82.9910801873403,62.3151329493483,102.772916760057,658.510221630812,2273.09755764328,354.664574357187,1365.97706410736,2284.43646798037,682.391091178396
"270","101253038",0.989199016841507,1.95818855300671,10.0582439180565,24.0490987591269,4.99946266188797,26.7064855497207,111.666726864293,314.288969414706,1364.05593776075,437.419641707197,722.343815811698,1008.98439018268,192.675131626841
"348","101265833",8.90279115157357,21.5400740830738,16.0931902688904,62.1268384610778,23.9974207770623,295.749599235796,131.43074931815,445.991013740868,1116.31495340623,300.479708830394,718.358470621013,992.018282731536,598.095721091653
"388","101262661",14.8379852526226,64.6202222492214,109.634858706816,81.1657083120533,71.9922623311868,127.597653181999,399.233253567915,860.054259160242,679.06692125861,495.545224726847,643.633248295665,537.925406833297,497.744090036006
"455","100750252",0.989199016841507,0.979094276503354,5.02912195902826,20.0409156326058,8.99903279139835,26.7064855497207,55.3392628708001,310.297998374519,1347.27666790407,215.754282733955,1068.07251110364,932.137903492207,506.775736831014
"532","101249794",8.90279115157357,34.2682996776174,277.60753213836,318.650558558431,254.972595756286,241.34749904192,159.10038075355,382.13547709788,327.689270142236,317.227758175039,250.080410715498,253.493605446489,130.45712037234
"669","101267365",5.93519410104904,14.6864141475503,194.124107618491,329.673062156365,204.977969137407,28.6847437385889,39.5280449077143,9.97742760046684,68.1040953006455,29.5553811964322,151.443117246039,215.569365261581,82.2883374656301
"803","101250584",0.989199016841507,3.91637710601342,11.0640683098622,20.0409156326058,8.99903279139835,56.3803583827437,57.3156651161858,645.539565750205,582.339365614215,465.989843530415,496.175476240311,378.244395528423,243.854463465221
"824","101267981",8.90279115157357,25.4564511890872,111.646507490427,77.1575251855322,56.9938743455229,181.01062428144,255.94409077745,558.735945626143,346.442571746762,189.154439657166,240.117047738785,195.609238848472,113.39734309288
"1397","101245840",9.89199016841507,18.6027912535637,91.5300196543144,70.1432047141201,59.9935519426556,44.5108092495345,114.631330232372,33.9232538415873,136.208190601291,53.199686153578,193.289241748234,204.591295734371,83.2918537761865
"1426","101249973",4.94599508420754,6.85365993552348,42.2446244558374,148.302775681283,23.9974207770623,77.1520693658597,34.5870392942501,147.665928486909,236.883809741376,249.250381423245,201.259932129604,312.375978365162,272.956436471358
"1538","101263630",0.989199016841507,3.91637710601342,63.3669366837561,120.245493795635,47.9948415541245,44.5108092495345,30.6342348034786,384.130962617974,241.818889110988,201.961771508954,141.479754269326,111.776707913412,56.196913391162
"1569","101255324",12.8595872189396,26.4355454655906,73.4251806018127,79.1616167487927,86.9906503168507,57.3694874771778,64.2330729750358,73.8329642434547,131.273111231679,95.5623992017975,97.6409571717882,75.8484803698156,39.1371361117021
"1824","101254501",5.93519410104904,9.79094276503354,167.972673431544,96.1963950365076,167.981945439436,13.8478073220774,24.7050280673215,56.871337322661,30.5974920915943,10.8369731053585,154.432126139053,139.720884891766,46.1617502855974
"1888","101248026",3.95679606736603,17.6236969770604,24.1397854033357,31.0634192305389,17.9980655827967,18.7934527942479,97.831911146593,66.8487649231279,118.441904870688,72.9032736178662,88.6739304927464,106.786676310135,33.1160382483633
"2094","101246280",0.989199016841507,0.979094276503354,6.03494635083392,20.0409156326058,3.99957012951038,26.7064855497207,26.6814303127072,177.59821128831,218.13050813685,142.851009116089,140.483417971654,80.8385119730929,101.355147366203
"2163","101261722",9.89199016841507,14.6864141475503,17.0990146606961,20.0409156326058,16.9981730504191,49.456454721705,65.2212740977287,37.914224881774,76.0002222920247,62.0663005125077,102.622638660145,94.8106004622695,57.2004297017185
"3303","101251154",0,0.979094276503354,3.01747317541696,9.01841203467259,1.99978506475519,8.90216184990689,5.92920673615715,111.747189125229,152.000444584049,155.658340967876,33.8754341208245,24.9501580163867,9.03164679500818
"4452","101255829",0.989199016841507,1.95818855300671,24.1397854033357,53.1084264264052,19.9978506475519,8.90216184990689,6.91740785885001,80.8171635637814,68.1040953006455,69.9477354982229,48.8204785858941,44.9102844294961,42.1476850433715
"4635","101255191",3.95679606736603,7.83275421202683,27.1572585787526,33.0675107937995,25.9972058418174,29.673872833023,26.6814303127072,47.8916524822409,59.2209524353439,47.2886099142916,33.8754341208245,23.9521516957312,24.0843914533551
"5716","101260892",2.96759705052452,6.85365993552348,25.1456097951413,40.0818312652115,24.9973133094398,6.9239036610387,4.94100561346429,18.957112440887,21.7143492262928,42.3627130482195,27.8974163347966,40.9182591468742,32.1125219378069
"5830","101267241",0.989199016841507,0.979094276503354,15.0873658770848,16.0327325060846,12.9986029209087,8.90216184990689,10.8702123496214,36.9164821217273,43.4286984525855,51.2293274071492,38.857115609181,23.9521516957312,11.0386794161211
