,main,,
7,Solyc01g087180.4.1,101246280,Solyc01g087180
13,Solyc01g096320.3.1,101262661,Solyc01g096320
10,Solyc02g081560.1.1,101260892,Solyc02g081560
8,Solyc02g084850.3.1,544056,Solyc02g084850
11,Solyc03g007230.4.1,101249794,Solyc03g007230
3,Solyc03g019820.3.1,101251154,Solyc03g019820
21,Solyc03g111100.1.1,101267981,Solyc03g111100
22,Solyc03g116390.4.1,100750252,Solyc03g116390
17,Solyc04g005250.4.1,101255191,Solyc04g005250
19,Solyc04g081900.4.1,101245840,Solyc04g081900
2,Solyc06g050800.4.1,101267241,Solyc06g050800
4,Solyc06g067980.3.1,101265833,Solyc06g067980
14,Solyc06g068620.3.1,101254501,Solyc06g068620
1,Solyc07g017610.3.1,101261722,Solyc07g017610
9,Solyc07g063410.3.1,101248026,Solyc07g063410
6,Solyc08g075280.4.1,101255324,Solyc08g075280
15,Solyc08g083130.4.1,101263630,Solyc08g083130
18,Solyc09g075890.3.1,101255829,Solyc09g075890
12,Solyc10g078770.2.1,101253038,Solyc10g078770
5,Solyc10g080670.2.1,101267365,Solyc10g080670
20,Solyc10g081980.2.1,101249973,Solyc10g081980
16,Solyc12g098900.2.1,101250584,Solyc12g098900
