,...1,main,,GSM4618825,GSM4618826,GSM4618827,GSM4618828,GSM4618829,GSM4618830,GSM4618831,GSM4618832,GSM4618833,GSM4618834,GSM4618835,GSM4618836
8,Solyc02g084850.3.1,Solyc02g084850.3.1,544056,53.49272549,39.30777141,338.6467077,51378.53318,73.54081562,44.53015078,2296.49726,1296.09935,2243.572914,70.21310952,81.55398632,140.2917373
3,Solyc03g116390.4.1,Solyc03g116390.4.1,100750252,5.218802487,2.015783149,65.17351734,4848.970747,3.197426766,2.172202477,5.939857123,148.1990664,173.9913689,1.509959344,0,5.938274595
17,Solyc04g081900.4.1,Solyc04g081900.4.1,101245840,247.8931181,269.1070504,244.081212,1079.833136,137.489351,255.233791,706.1005155,436.8874213,711.5331242,335.9659541,306.029315,288.0063179
2,Solyc01g087180.4.1,Solyc01g087180.4.1,101246280,35.22691679,19.14993992,40.89318735,148.7340154,41.56654796,136.8487561,72.02076761,114.7900283,105.3105654,61.90833312,33.10607365,25.97995135
11,Solyc07g063410.3.1,Solyc07g063410.3.1,101248026,421.4183008,658.1531982,1422.316172,2984.354066,1816.138403,3391.894168,537.5570696,921.7467947,367.2133627,356.3504053,271.3083109,298.3982984
18,Solyc03g007230.4.1,Solyc03g007230.4.1,101249794,147.4311702,106.8365069,230.0241788,480.0601961,124.6996439,422.4933818,612.5477658,442.0272733,499.0805054,249.8982715,129.1944338,212.2933168
7,Solyc10g081980.2.1,Solyc10g081980.2.1,101249973,182.658087,188.4757244,158.461101,449.8297052,142.2854911,584.3224663,517.5100518,238.1464767,194.1377379,212.1492879,80.74652111,63.09416757
9,Solyc12g098900.2.1,Solyc12g098900.2.1,101250584,176.1345839,96.75759116,222.3567062,394.2056019,326.1375302,549.5672267,42.321482,36.83560611,59.52336303,22.64939017,9.689582533,21.52624541
15,Solyc03g019820.3.1,Solyc03g019820.3.1,101251154,48.273923,20.15783149,132.9028589,5379.818168,1376.492223,5703.117603,85.38544614,681.030392,254.576845,162.3206295,16.14930422,61.60959892
10,Solyc10g078770.2.1,Solyc10g078770.2.1,101253038,3.914101865,6.047349447,28.1140663,2894.871812,7.993566916,4.344404954,18.56205351,47.97195214,30.21955354,29.44420722,3.229860844,3.711421622
16,Solyc06g068620.3.1,Solyc06g068620.3.1,101254501,1563.031345,1261.880251,2022.934862,4737.72254,2650.666789,2538.218594,1686.176941,2160.45113,2499.981247,206.1094505,189.7543246,269.4492098
19,Solyc04g005250.4.1,Solyc04g005250.4.1,101255191,50.88332425,32.25253039,28.1140663,108.8297674,41.56654796,70.5965805,170.0284101,168.7584745,211.5368748,135.896341,116.2749904,94.2701092
5,Solyc08g075280.4.1,Solyc08g075280.4.1,101255324,2952.537507,2254.653452,4201.775,9668.920223,8856.872143,7062.916354,2590.520188,4001.374794,2953.27455,1260.816053,1118.339317,1629.314092
22,Solyc09g075890.3.1,Solyc09g075890.3.1,101255829,430.5512052,437.4249433,825.5312196,1187.453684,1157.468489,2040.784227,75.73317831,189.3178826,93.40589275,157.7907515,54.90763435,86.10498163
21,Solyc02g081560.1.1,Solyc02g081560.1.1,101260892,87.41494165,59.4656029,88.17593522,198.3120206,243.0044342,172.6900969,89.09785684,74.52785422,60.43910708,53.60355673,62.98228646,66.06330487
4,Solyc07g017610.3.1,Solyc07g017610.3.1,101261722,313.1281492,209.6414475,247.9149483,1079.833136,354.9143711,954.6829886,902.1158005,702.4464421,682.2293147,594.169002,903.5535712,495.1036444
6,Solyc01g096320.3.1,Solyc01g096320.3.1,101262661,142.2123678,73.57608494,192.9647278,2650.609446,207.8327398,172.6900969,1301.571192,1380.050266,1275.631457,330.6810964,298.7621281,213.7778854
14,Solyc08g083130.4.1,Solyc08g083130.4.1,101263630,134.384164,20.15783149,210.8554973,1049.602645,289.3671223,341.0357889,270.2634991,366.6427771,317.7631842,70.96808919,34.72100408,59.38274595
20,Solyc06g067980.3.1,Solyc06g067980.3.1,101265833,23.48461119,56.44192817,53.6723084,677.1629971,132.6932108,146.6236672,70.53580333,172.1850425,113.5522618,75.49796722,50.8703083,28.20680433
13,Solyc06g050800.4.1,Solyc06g050800.4.1,101267241,131.7747628,133.0416878,329.701323,1752.159255,674.6570477,785.2511954,735.0573189,723.0058501,574.1715172,449.212905,549.0763435,771.9756974
12,Solyc10g080670.2.1,Solyc10g080670.2.1,101267365,5320.569135,3583.054547,9645.680566,21940.08111,22623.39308,26219.57,4680.607413,8772.870748,5955.999279,2720.946739,2186.615792,4274.815424
1,Solyc03g111100.1.1,Solyc03g111100.1.1,101267981,206.1426982,110.8680732,172.5181341,428.0637517,19.1845606,525.6729994,165.5735173,45.40202613,86.07994038,88.33262165,33.91353887,40.82563784
