,...1,From,To,GSM4462432,GSM4462433,GSM4462434,GSM4462435,GSM4462436,GSM4462437,GSM4462438,GSM4462439,GSM4462440
22,544056,544056,Solyc02g084850,0,1.880239605,1.821649306,2378.32048,2938.018707,2243.936817,6731.075154,8625.49106,9642.106539
1,100750252,100750252,Solyc03g116390,0,0.940119803,0,1147.94876,1436.310877,1201.9874,760.5251856,1313.327128,1193.955227
2,101245840,101245840,Solyc04g081900,8.269805697,8.461078223,8.197421876,438.3945837,571.6178194,465.3586722,454.606066,506.9966548,528.4573022
3,101246280,101246280,Solyc01g087180,1.837734599,1.880239605,1.821649306,457.5071541,633.3816092,570.9156393,130.7419701,272.2066911,277.6640062
4,101248026,101248026,Solyc07g063410,2.756601899,2.820359408,1.821649306,99.14645897,117.4723061,110.0970517,185.4314216,220.758691,239.1493215
5,101249794,101249794,Solyc03g007230,47.78109958,43.24551092,40.98710938,400.1694428,404.4922705,354.1265993,334.9728907,500.4487276,469.3417395
6,101249973,101249973,Solyc10g081980,47.78109958,82.73054262,61.9360764,295.0503056,448.0902398,331.4261763,209.3580567,155.2794183,219.4441339
7,101250584,101250584,Solyc12g098900,2.756601899,1.880239605,1.821649306,309.3847334,369.3716842,354.1265993,244.3934866,383.5214548,336.7795688
8,101251154,101251154,Solyc03g019820,2.756601899,0.940119803,1.821649306,1.19453565,2.422109404,2.270042303,152.1050371,274.0775274,255.2717477
9,101253038,101253038,Solyc10g078770,0,0.940119803,0,80.03388857,179.2360959,99.88186134,781.0337299,1425.57731,1389.215721
10,101254501,101254501,Solyc06g068620,0,0.940119803,0.910824653,1157.505045,1096.004505,970.4430846,120.4876979,144.9898183,137.9363128
11,101255191,101255191,Solyc04g005250,11.9452749,10.34131783,11.84072049,23.89071301,26.64320345,26.10548649,25.63568041,23.38545456,26.87071028
12,101255324,101255324,Solyc08g075280,5.513203798,3.76047921,6.37577257,29.86339126,27.85425815,37.455698,82.8887,100.0897455,89.56903426
13,101255829,101255829,Solyc09g075890,1.837734599,6.580838618,2.732473959,377.4732655,368.1606295,354.1265993,163.213832,233.8545456,206.9044692
14,101260892,101260892,Solyc02g081560,5.513203798,7.52095842,6.37577257,20.30710605,23.01003934,20.43038073,23.07211237,18.70836365,27.76640062
15,101261722,101261722,Solyc07g017610,23.89054979,15.04191684,18.21649306,126.6207789,136.8491813,111.2320729,338.3909814,498.5778912,431.7227452
16,101262661,101262661,Solyc01g096320,1.837734599,2.820359408,1.821649306,900.6798803,966.4216523,961.3629154,371.717366,403.1652366,518.6047084
17,101263630,101263630,Solyc08g083130,5.513203798,6.580838618,7.286597223,363.1388377,382.6932859,358.6666839,291.392234,294.6567274,352.901995
18,101265833,101265833,Solyc06g067980,0.9188673,0.940119803,0.910824653,189.9311684,399.6480517,273.5400975,308.4826876,293.7213093,429.0356741
19,101267241,101267241,Solyc06g050800,0,0,0.910824653,20.30710605,19.37687523,24.97046534,40.16256598,40.22298184,40.30606542
20,101267365,101267365,Solyc10g080670,40.43016119,13.16167724,28.23556424,127.8153146,110.2059779,97.61181904,427.2613402,529.4466912,566.0762966
21,101267981,101267981,Solyc03g111100,3.675469199,10.34131783,4.554123264,247.2688796,217.9898464,222.4641457,103.3972443,210.469091,165.7027134
