,...1,,,GSM7413358,GSM7413359,GSM7413360,GSM7413361,GSM7413362,GSM7413363,GSM7413364,GSM7413365,GSM7413366,GSM7413367,GSM7413368,GSM7413369,GSM7413370,GSM7413371,GSM7413372,GSM7413373,GSM7413374,GSM7413375
1,544056,544056,Solyc02g084850,1.003126406,1.984416363,3.929598307,198.0055141,31.46329817,41.97946888,57.29356294,118.2264175,83.48020939,62.54918379,287.6276699,102.8028554,664.3328719,2287.783233,356.941684,1358.120237,2271.306914,684.0182954
5,100750252,100750252,Solyc03g116390,1.003126406,8.929873634,0.982399577,8.955023249,17.69810522,8.786400463,5.025751135,20.03837584,9.052070898,26.80679305,464.9323979,55.35538367,313.0417018,1355.980944,217.1395245,1061.929172,926.7805407,507.9841753
10,101245840,101245840,Solyc04g081900,10.03126406,31.75066181,18.66559196,59.70015499,59.97691215,53.69466949,91.46867066,70.13431544,60.34713932,44.67798842,108.3528893,114.6647233,34.22320855,137.0881833,53.54125261,192.1774807,203.4154292,83.49046841
16,101246280,101246280,Solyc01g087180,1.003126406,1.984416363,0.982399577,10.94502841,15.73164909,3.905066872,6.030901362,20.03837584,4.023142621,26.80679305,114.2630469,26.68920284,179.1685624,219.5397718,143.7681783,139.6753855,80.37390128,101.5968351
15,101248026,101248026,Solyc07g063410,4.012505623,23.81299636,17.68319238,30.84508008,44.24526306,45.88453575,24.12360545,31.05948255,18.1041418,18.86403956,145.7838875,97.86041043,67.43985215,119.2071159,73.37134616,88.16389578,106.1729313,33.19500551
6,101249794,101249794,Solyc03g007230,9.028137652,25.79741272,34.38398518,93.53024282,108.1550875,110.3181391,277.4214627,318.6101759,256.4753421,242.2539817,197.9902796,159.1467281,385.5143787,329.8063541,319.2645063,248.6419982,252.0366781,130.7682035
11,101249973,101249973,Solyc10g081980,5.015632029,10.91429,6.876797037,65.67017049,128.8028769,39.05066872,42.21630954,148.2839812,24.13885573,77.4418466,57.13152347,34.5971148,148.9716137,238.4142319,250.8506835,200.1023253,310.5806309,273.6073182
8,101250584,101250584,Solyc12g098900,1.003126406,0.992208182,3.929598307,6.965018082,9.83228068,11.71520062,11.0566525,20.03837584,9.052070898,56.59211867,387.1153228,57.33236166,651.2475275,586.1016534,468.9817126,493.3215742,376.0704764,244.4359497
18,101251154,101251154,Solyc03g019820,0,0,0.982399577,7.960020665,10.81550875,18.54906764,3.015450681,9.017269128,2.011571311,8.935597684,21.67057787,5.930933965,112.7352752,152.9824655,156.6577391,33.6805894,24.80675965,9.053183322
2,101253038,101253038,Solyc10g078770,1.003126406,8.929873634,1.964799153,34.82509041,66.85950862,17.57280093,10.05150227,24.04605101,5.028928277,26.80679305,350.669351,111.6992563,317.0679616,1372.868619,440.228077,718.1890387,1003.18536,193.1345775
14,101254501,101254501,Solyc06g068620,6.018758434,10.91429,9.823995767,42.78511108,20.64778943,70.2912037,167.8600879,96.18420403,168.9719901,13.89981862,52.20639214,24.71222485,57.37420258,30.79517162,10.90655146,153.5438634,138.9178541,46.27182587
20,101255191,101255191,Solyc04g005250,4.012505623,6.945457271,7.859196614,10.94502841,9.83228068,17.57280093,27.13905613,33.06332014,26.15042704,29.78532561,29.550788,26.68920284,48.31511796,59.60355797,47.59222454,33.6805894,23.81448927,24.14182219
13,101255324,101255324,Solyc08g075280,13.04064327,21.82857999,26.52478857,109.4502841,72.75887703,110.3181391,73.37596658,79.15158457,87.50335201,57.58496286,81.75718014,64.25178462,74.48580685,132.1212202,96.17595375,97.07934592,75.41254935,39.23046106
19,101255829,101255829,Solyc09g075890,1.003126406,0.992208182,1.964799153,10.94502841,37.36266658,18.54906764,24.12360545,53.10169598,20.11571311,8.935597684,12.80534147,6.919422959,81.53176155,68.54409166,70.39683213,48.53967296,44.65216738,42.24818884
21,101260892,101260892,Solyc02g081560,3.009379217,3.968832726,6.876797037,20.89505425,56.04399987,29.28800154,25.12875568,40.07675168,25.14464138,6.94990931,7.880210134,4.942444971,19.12473419,21.85463792,42.63470115,27.73695598,40.68308583,32.18909626
17,101261722,101261722,Solyc07g017610,10.03126406,22.82078818,14.73599365,56.71514724,93.40666646,60.52853652,17.08755386,20.03837584,17.09835614,49.64220936,62.05665481,65.24027362,38.24946838,76.49123273,62.46479471,102.0323738,94.26568669,57.33682771
4,101262661,101262661,Solyc01g096320,15.04689609,55.56365817,64.83837206,17.9100465,13.76519295,27.33546811,109.5613748,81.15542215,72.41656718,128.0769001,511.2286324,399.3495537,867.6589933,683.4541314,498.726853,639.9311986,534.8337382,498.930992
12,101263630,101263630,Solyc08g083130,1.003126406,2.976624545,3.929598307,10.94502841,8.849052612,25.38293467,63.32446431,120.230255,48.27771145,44.67798842,113.2780207,30.64315882,387.5275086,243.381195,203.258459,140.665991,111.1342833,56.33091845
3,101265833,101265833,Solyc06g067980,9.028137652,19.84416363,21.61279069,42.78511108,58.99368408,40.02693544,16.08240363,62.1189651,24.13885573,296.860412,336.8789832,131.4690362,449.934536,1123.527068,302.4089268,714.2266164,986.3167639,599.5219178
22,101267241,101267241,Solyc06g050800,1.003126406,0.992208182,0.982399577,10.94502841,10.81550875,13.66773405,15.07725341,16.03070067,13.07521352,8.935597684,37.43099814,10.87337894,37.24290343,43.70927584,51.55824325,38.63361725,23.81448927,11.06500184
7,101267365,101267365,Solyc10g080670,6.018758434,45.64157635,14.73599365,405.9610539,427.7042096,534.9941615,193.9939938,329.6312826,206.1860593,28.79248143,32.5058668,39.53955977,10.06564957,68.54409166,29.74514034,150.5720467,214.3304034,82.48455916
9,101267981,101267981,Solyc03g111100,9.028137652,23.81299636,25.54238899,9.950025832,13.76519295,15.62026749,111.5716752,77.14774698,57.32978235,181.6904863,421.5912422,256.0186495,563.6763762,348.6808141,190.3688982,238.7359425,194.4849957,113.6677462
